0/1000: 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 
0/1000: 1.000 | 1.000 | 1.000 | 1.000 | 1.000 | 
0/1000: 1.000 | 1.000 | 0.000 | 0.000 | 0.000 | 
0/1000: 1.000 | 1.000 | 0.000 | 0.000 | 0.000 | 
0/1000: 1.000 | 1.000 | 1.000 | 1.000 | 1.000 | 
0/1000: 1.000 | 1.000 | 1.000 | 1.000 | 0.000 | 
0/1000: 1.000 | 1.000 | 1.000 | 1.000 | 0.000 | 
0/1000: 1.000 | 1.000 | 1.000 | 0.000 | 0.000 | 
1/1000: 0.500 | 0.500 | 0.000 | 0.000 | 0.000 | 
1/1000: 1.000 | 1.000 | 0.500 | 0.500 | 0.500 | 
1/1000: 1.000 | 1.000 | 1.000 | 1.000 | 1.000 | 
1/1000: 1.000 | 1.000 | 1.000 | 0.500 | 0.500 | 
1/1000: 1.000 | 1.000 | 1.000 | 1.000 | 0.500 | 
1/1000: 1.000 | 1.000 | 1.000 | 0.500 | 0.000 | 
1/1000: 0.500 | 0.500 | 0.500 | 0.000 | 0.000 | 
1/1000: 1.000 | 1.000 | 1.000 | 1.000 | 1.000 | 
2/1000: 1.000 | 1.000 | 0.667 | 0.667 | 0.667 | 
2/1000: 0.667 | 0.667 | 0.333 | 0.333 | 0.333 | 
2/1000: 1.000 | 1.000 | 1.000 | 1.000 | 0.667 | 
2/1000: 1.000 | 1.000 | 0.667 | 0.333 | 0.333 | 
2/1000: 1.000 | 1.000 | 1.000 | 0.667 | 0.333 | 
2/1000: 1.000 | 1.000 | 1.000 | 1.000 | 1.000 | 
2/1000: 0.667 | 0.667 | 0.667 | 0.333 | 0.333 | 
3/1000: 0.750 | 0.750 | 0.500 | 0.500 | 0.500 | 
3/1000: 0.750 | 0.750 | 0.500 | 0.500 | 0.500 | 
2/1000: 1.000 | 0.667 | 0.667 | 0.667 | 0.667 | 
3/1000: 1.000 | 1.000 | 0.750 | 0.500 | 0.500 | 
3/1000: 1.000 | 0.750 | 0.750 | 0.750 | 0.500 | 
3/1000: 1.000 | 1.000 | 1.000 | 0.750 | 0.500 | 
3/1000: 1.000 | 1.000 | 1.000 | 1.000 | 1.000 | 
4/1000: 0.800 | 0.800 | 0.600 | 0.600 | 0.600 | 
3/1000: 1.000 | 0.750 | 0.750 | 0.750 | 0.750 | 
4/1000: 1.000 | 1.000 | 0.800 | 0.600 | 0.600 | 
4/1000: 1.000 | 0.600 | 0.600 | 0.600 | 0.400 | 
4/1000: 1.000 | 1.000 | 1.000 | 1.000 | 1.000 | 
4/1000: 0.800 | 0.800 | 0.600 | 0.600 | 0.600 | 
4/1000: 1.000 | 1.000 | 0.800 | 0.600 | 0.400 | 
3/1000: 0.750 | 0.750 | 0.500 | 0.250 | 0.250 | 
4/1000: 1.000 | 0.800 | 0.800 | 0.800 | 0.800 | 
5/1000: 0.833 | 0.833 | 0.667 | 0.667 | 0.500 | 
5/1000: 1.000 | 0.833 | 0.667 | 0.500 | 0.500 | 
5/1000: 1.000 | 0.667 | 0.667 | 0.667 | 0.500 | 
5/1000: 0.833 | 0.833 | 0.667 | 0.667 | 0.667 | 
5/1000: 0.833 | 0.833 | 0.667 | 0.500 | 0.333 | 
5/1000: 1.000 | 1.000 | 0.833 | 0.833 | 0.833 | 
6/1000: 1.000 | 0.857 | 0.714 | 0.571 | 0.571 | 
6/1000: 0.857 | 0.714 | 0.571 | 0.571 | 0.429 | 
4/1000: 0.800 | 0.800 | 0.600 | 0.400 | 0.200 | 
5/1000: 1.000 | 0.667 | 0.667 | 0.667 | 0.667 | 
6/1000: 0.857 | 0.714 | 0.571 | 0.571 | 0.571 | 
6/1000: 1.000 | 0.714 | 0.714 | 0.571 | 0.429 | 
6/1000: 1.000 | 1.000 | 0.857 | 0.857 | 0.857 | 
6/1000: 0.857 | 0.857 | 0.714 | 0.571 | 0.286 | 
7/1000: 0.875 | 0.750 | 0.625 | 0.625 | 0.625 | 
5/1000: 0.833 | 0.833 | 0.667 | 0.500 | 0.333 | 
7/1000: 1.000 | 0.750 | 0.750 | 0.625 | 0.500 | 
7/1000: 1.000 | 0.875 | 0.750 | 0.625 | 0.500 | 
6/1000: 1.000 | 0.714 | 0.714 | 0.714 | 0.714 | 
6/1000: 0.857 | 0.857 | 0.714 | 0.571 | 0.429 | 
8/1000: 0.778 | 0.667 | 0.556 | 0.556 | 0.556 | 
7/1000: 1.000 | 1.000 | 0.875 | 0.750 | 0.750 | 
7/1000: 0.875 | 0.750 | 0.625 | 0.625 | 0.375 | 
8/1000: 1.000 | 0.889 | 0.778 | 0.667 | 0.556 | 
8/1000: 1.000 | 0.778 | 0.667 | 0.556 | 0.444 | 
7/1000: 0.875 | 0.875 | 0.750 | 0.500 | 0.250 | 
8/1000: 1.000 | 0.889 | 0.778 | 0.667 | 0.667 | 
